Building,Room,Equipment,Responsible_Department,Faculty_Name,Faculty_Email,Last_Calibrated,Next_Calibration_Due,Photo_Link,SOP_Link,PO_Link,Purchase_Date,Cost,Vendor,Warranty_Until,Funding_Source,AMC_Renewal_Due,Service_Due
JC BOSE Block,JC301,Muffle Furnace,Mechanical Engineering,Dr. A. Sharma,incharge.jc301@srmap.edu.in,09-06-2025,09-06-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/muffle-furnace.pdf,https://example.com/po/PO-1001.pdf,16-11-2022,75000,BuildTest Equipments,04-07-2026,Consultancy Fund,19-06-2026,22-09-2026
JC BOSE Block,JC301,Stereo Microscope,Civil Engineering,Dr. A. Sharma,incharge.jc301@srmap.edu.in,15-05-2025,15-05-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/stereo-microscope.pdf,https://example.com/po/PO-1002.pdf,08-08-2025,180000,Precision Instruments,30-04-2026,CSR Grant,19-06-2026,17-06-2026
JC BOSE Block,JC302,Water Quality Analyzer,Chemistry,Dr. B. Pankaj,incharge.jc302@srmap.edu.in,11-11-2025,11-11-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/water-quality-analyzer.pdf,https://example.com/po/PO-1003.pdf,03-11-2022,350000,SRM Scientific Supplies,30-04-2026,DST Project,11-12-2026,17-06-2026
JC BOSE Block,JC302,Slump Cone Set,Mechanical Engineering,Dr. B. Pankaj,incharge.jc302@srmap.edu.in,15-05-2025,15-05-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/slump-cone-set.pdf,https://example.com/po/PO-1004.pdf,19-07-2023,350000,SRM Scientific Supplies,02-09-2026,Department Budget,25-05-2026,24-07-2026
JC BOSE Block,JC302,Drone Kit,Mechanical Engineering,Dr. B. Pankaj,incharge.jc302@srmap.edu.in,12-09-2025,12-09-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/drone-kit.pdf,https://example.com/po/PO-1005.pdf,29-12-2022,500000,LabTech Instruments,30-04-2026,Department Budget,08-08-2026,23-08-2026
JC BOSE Block,JC303,CBR Testing Machine,Electronics and Communication,Dr. C. Pradeep,incharge.jc303@srmap.edu.in,11-11-2025,11-11-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/cbr-testing-machine.pdf,https://example.com/po/PO-1006.pdf,12-06-2025,75000,EnviroLab India,04-07-2026,SERB Project,14-07-2026,30-05-2026
JC BOSE Block,JC303,Centrifuge,Electronics and Communication,Dr. C. Pradeep,incharge.jc303@srmap.edu.in,09-06-2025,09-06-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/centrifuge.pdf,https://example.com/po/PO-1007.pdf,15-11-2020,250000,Precision Instruments,02-09-2026,CSR Grant,14-07-2026,02-07-2026
JC BOSE Block,JC303,Auto Level,Electrical Engineering,Dr. C. Pradeep,incharge.jc303@srmap.edu.in,13-08-2025,13-08-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/auto-level.pdf,https://example.com/po/PO-1008.pdf,27-02-2025,750000,EnviroLab India,21-06-2026,SERB Project,02-10-2026,17-06-2026
JC BOSE Block,JC303,Los Angeles Abrasion Machine,Civil Engineering,Dr. C. Pradeep,incharge.jc303@srmap.edu.in,12-09-2025,12-09-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/los-angeles-abrasion-machine.pdf,https://example.com/po/PO-1009.pdf,18-09-2019,180000,LabTech Instruments,04-07-2026,SERB Project,14-07-2026,21-11-2026
JC BOSE Block,JC304,Incubator,Electrical Engineering,Dr. D. Vinod,incharge.jc304@srmap.edu.in,09-07-2025,09-07-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/incubator.pdf,https://example.com/po/PO-1010.pdf,30-07-2023,250000,GeoSense Systems,09-02-2027,DST Project,02-10-2026,24-07-2026
JC BOSE Block,JC304,Ductility Testing Machine,Chemistry,Dr. D. Vinod,incharge.jc304@srmap.edu.in,24-06-2025,24-06-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/ductility-testing-machine.pdf,https://example.com/po/PO-1011.pdf,31-08-2019,500000,SRM Scientific Supplies,14-06-2027,DST Project,02-10-2026,23-08-2026
JC BOSE Block,JC304,Los Angeles Abrasion Machine,Civil Engineering,Dr. D. Vinod,incharge.jc304@srmap.edu.in,09-07-2025,09-07-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/los-angeles-abrasion-machine.pdf,https://example.com/po/PO-1012.pdf,29-05-2024,75000,GeoSense Systems,14-06-2027,CSR Grant,25-05-2026,21-11-2026
JC BOSE Block,JC304,Concrete Mixer,Chemistry,Dr. D. Vinod,incharge.jc304@srmap.edu.in,13-08-2025,13-08-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/concrete-mixer.pdf,https://example.com/po/PO-1013.pdf,01-03-2024,750000,BuildTest Equipments,12-10-2026,SERB Project,25-05-2026,24-07-2026
JC BOSE Block,JC304,Hydraulic Flume,Computer Science,Dr. D. Vinod,incharge.jc304@srmap.edu.in,12-09-2025,12-09-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/hydraulic-flume.pdf,https://example.com/po/PO-1014.pdf,03-10-2019,350000,LabTech Instruments,30-04-2026,SERB Project,02-10-2026,30-05-2026
JC BOSE Block,JC305,GPS Handheld Unit,Electrical Engineering,Dr. E. Rao,incharge.jc305@srmap.edu.in,12-09-2025,12-09-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/gps-handheld-unit.pdf,https://example.com/po/PO-1015.pdf,14-11-2020,75000,Precision Instruments,30-04-2026,SERB Project,02-10-2026,02-07-2026
JC BOSE Block,JC305,Total Station,Electrical Engineering,Dr. E. Rao,incharge.jc305@srmap.edu.in,09-06-2025,09-06-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/total-station.pdf,https://example.com/po/PO-1016.pdf,07-04-2020,45000,BuildTest Equipments,04-07-2026,SERB Project,14-07-2026,21-11-2026
JC BOSE Block,JC306,Air Quality Monitor,Mechanical Engineering,Dr. F. Gupta,incharge.jc306@srmap.edu.in,09-06-2025,09-06-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/air-quality-monitor.pdf,https://example.com/po/PO-1017.pdf,21-11-2021,75000,Precision Instruments,29-07-2026,Consultancy Fund,25-05-2026,17-06-2026
JC BOSE Block,JC306,Stereo Microscope,Physics,Dr. F. Gupta,incharge.jc306@srmap.edu.in,11-11-2025,11-11-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/stereo-microscope.pdf,https://example.com/po/PO-1018.pdf,08-03-2025,125000,SRM Scientific Supplies,14-06-2027,Department Budget,19-06-2026,17-06-2026
JC BOSE Block,JC306,Muffle Furnace,Electronics and Communication,Dr. F. Gupta,incharge.jc306@srmap.edu.in,13-08-2025,13-08-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/muffle-furnace.pdf,https://example.com/po/PO-1019.pdf,19-03-2021,250000,EnviroLab India,04-07-2026,CSR Grant,11-12-2026,22-09-2026
JC BOSE Block,JC307,Centrifuge,Electronics and Communication,Dr. G. Kousik,incharge.jc307@srmap.edu.in,24-06-2025,24-06-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/centrifuge.pdf,https://example.com/po/PO-1020.pdf,10-06-2023,180000,LabTech Instruments,04-06-2026,Institute Fund,25-05-2026,23-08-2026
JC BOSE Block,JC307,Drone Kit,Environmental Science,Dr. G. Kousik,incharge.jc307@srmap.edu.in,15-05-2025,15-05-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/drone-kit.pdf,https://example.com/po/PO-1021.pdf,19-04-2025,75000,BuildTest Equipments,04-07-2026,DST Project,25-05-2026,21-11-2026
JC BOSE Block,JC307,Muffle Furnace,Physics,Dr. G. Kousik,incharge.jc307@srmap.edu.in,09-06-2025,09-06-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/muffle-furnace.pdf,https://example.com/po/PO-1022.pdf,02-11-2022,180000,EnviroLab India,09-02-2027,Consultancy Fund,28-08-2026,17-06-2026
JC BOSE Block,JC307,Vicat Apparatus,Environmental Science,Dr. G. Kousik,incharge.jc307@srmap.edu.in,15-05-2025,15-05-2026,https://drive.google.com/file/d/1IsPZVAOsWL0Sr5K1qUTATIn2MmLJxZnJ/view?usp=drive_link,https://example.com/sop/vicat-apparatus.pdf,https://example.com/po/PO-1023.pdf,29-10-2023,500000,EnviroLab India,04-06-2026,Consultancy Fund,02-10-2026,24-07-2026
